locality,listing_count
Himagiri Meadows,4
Hongasandra,4
Hosapalya,4
Iblur Village,4
Immadihalli,4
Indira nagar Stage 3,4
Infosys Head Quater,4
ISRO Layout,4
jakkur Plantation,4
K Channasandra,4
Kadabeesanahalli,4
Kambipura,4
Kasavanahalli Main Road,4
Kempapura,4
Kengeri Hobli,4
KIADB Industrial Area,4
Krishna Reddy Layout Domlur,4
Madivala,4
Mahadevapura Layout,4
Mahalakshmipuram,4
Moodalapalya,4
Nagasandra,4
New Airport Road,4
NR Colony,4
Pai Layout Hulimavu,4
Palanahalli,4
Papareddipalya,4
Pattandur Agrahara,4
Peace layout,4
Phase 2nd Judicial Layout,4
Phase 3 Reliable Residency Layout,4
Rachenahalli Main Road,4
Richards Town,4
RPC Layout,4
Sadahalli,4
Samethanahalli,4
SG Palya,4
Shanthinagar,4
Silk Board,4
Sir M V Nagar,4
Southegowdanahalli,4
Tata Silk Farm,4
Tavarekere,4
Tulasi Layout,4
Virupakshapura,4
Vittal Mallya Road,4
Vittasandra,4
Weavers Colony,4
Yelachenahalli,4
100 Feet Road,3
Abbaiah Reddy Layout,3
Adde Vishwanathapura,3
Agara Village,3
Agrahara Dasarahalli,3
AGS Layout,3
Akash Nagar,3
Akshayanagara East,3
Akshya Nagar,3
Alfa Gardens,3
Ambalipura Sarjapur Road,3
Amruthnagar,3
Ananthapura,3
Anjanadri Layout,3
AnjanaPura,3
Annaiah Reddy Layout,3
Annapoorneshwari Layout,3
Ashwath nagar- HBR Layout,3
Bagalakunte,3
Balaji Layout Margondanahalli,3
Banashankari 6th Stage 4th Block,3
BCC Layout,3
Bendiganahalli,3
Bennigana Halli,3
BHCS Layout,3
Bidarahalli,3
Block 2nd Koramangala,3
Block 6th Jayanagar,3
Block A AECS Layout,3
Brigade Metropolis,3
Brindavan Layout,3
Celebrity Paradise Layout,3
Challaghatta,3
Chelekare,3
Chikka Bommasandra,3
Chinnapa Garden,3
Chowdeswari Layout Banaswadi,3
Craig Park Layout,3
CV Raman Nagar Kaggadasapura,3
D Costa Layout,3
Dasarahalli,3
Devarachiknahalli,3
Devasandra Krishnarajapura,3
Dodda banaswadi,3
Doddajala,3
Dooravani Nagar,3
Duo Marvel Layout,3
East Block 4th T Jayanagar,3
Eastwood Township,3
Gandhi Nagar,3
Gandhipuram,3
Gollahalli-Electronic City,3
HAL 3rd Stage,3
Halanayakanahalli,3
Hulimavu Lake Road,3
Infantry Road,3
Jakkasandra Extension,3
Jalahalli West,3
Jarganahalli,3
Jayanagar 3rd Block East,3
Jayanagar Housing Society Layout,3
Junnasandra,3
Kachanayakanahalli,3
Kacharakanahalli,3
Kadugodi Colony,3
Kalkere Main Road,3
Kamanahalli,3
Kannamangala Main Road,3
Kanshiram Nagar,3
Kempapura Main Road,3
Kempegowda Nagar,3
Kengeri Upanagara,3
Kodipalya,3
Konappana Agrahara,3
Kothnur,3
Kundalahalli Colony,3
Laggere,3
Lakkasandra Extension,3
Langford Town,3
Lingarajapuram,3
Mahalakshmi Layout,3
Mailasandra,3
Mallappa Layout,3
Mannarayanapalya,3
Manyata Residency,3
Marenahalli - Vijaynagar,3
Maruthi Sevanagar,3
Maruti Nagar,3
Meenakshi Layout,3
Mico Layout,3
MLA Layout,3
Nagarbhavi Stage 2 Block 9,3
Nanjundeswara Layout,3
New Thippasandra,3
NGR Layout,3
Nobel Residency,3
Omkar Nagar Arekere,3
P&T layout,3
Palm Meadows,3
Patel Layout Vishwapriya Nagar,3
Prakruthi Nagar,3
Pulkeshi Nagar,3
Rahat Bagh,3
Rajaji Nagar Block 2,3
Rajarajeshwari Nagar Stage 5,3
Ramanshree Nagar,3
Sai Meadows,3
Sanjay Nagar Main Road,3
Sathya Sai Layout,3
Seegehalli Kannamangala Road,3
Shanthi Layout Ramamurthy Nagar,3
Sompura,3
ST Bed Layout,3
Subbannaiah Palya,3
Tata Nagar,3
Thirumagondanahalli,3
Thotada Guddadhalli Village,3
Thyvakanahally,3
Vijay Nagar Naagarabhaavi,3
Vijayanagar Stage 1,3
Vijayashree Layout,3
Vinayaka Nagar Vimanapura,3
Vishwapriya Nagar,3
Vittal Nagar Stage 2 Kumaraswamy Layout,3
Vyalikaval,3
Yadavanahalli,3
Yerthiganahalli Devanahalli,3
1st Block East,2
Aditya nagar,2
AECS Layout Block D,2
Aga Abbas Ali Road,2
Agrahara,2
AGS Layout-Banashankari,2
Ajamalppa Layout,2
Akshaya Vana,2
Amarjyothi Colony,2
Ambedkar Nagar Whitefield,2
Amruthahalli Main Road,2
Anjanapura Township Block 5,2
Annapoorneshwari Nagar,2
Armane Nagar,2
Ashirvad Colony,2
Ashok Nagar BSK Stage 1,2
Aswath Nagar,2
Austin Town,2
Avani Shringeri Nagar,2
Ayappa Layout,2
Balagere Road,2
Balaji Gardens Layout,2
Balaji Krupa Layout,2
Banashankari 6th Stage 9th Block,2
Banashankari Temple Ward,2
Bapuji Layout,2
Basapura Main Road,2
Basavanapura,2
Basavanna Nagar,2
BDA layout-HSR Layout,2
Bharath Nagar Bedarahalli,2
Bheemanna Garden,2
BHEL Layout,2
Bhoopasandra,2
Bhubneshwari Nagar,2
Bhuvaneswari Nagar,2
Bikasipura,2
Billamaranahalli,2
Billapura,2
Binnamangala Stage 1 Indiranagar,2
Biotech Park,2
Block-A Shakara Nagar,2
Bommasandra Industrial Area,2
Bommenahalli,2
Brindavan Layout Ashirvad Colony,2
Brunton Road,2
BSK Stage 3 Block 3,2
BSK Stage 3 Phase 3,2
Chamundeshwari Layout,2
Chandrika Layout,2
